file;repetitions;cost;path;time
;;291;[0, 12, 1, 14, 8, 4, 6, 2, 11, 13, 9, 7, 5, 3, 10, 0];0.56445
testData/tsp_17.txt;10;;;
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];3.08248
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];6.06593
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];3.57486
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];3.3672
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];4.25841
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];5.19692
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];4.26928
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];3.78161
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];2.99748
;;39;[0, 11, 16, 8, 7, 4, 3, 15, 14, 6, 5, 12, 10, 9, 1, 13, 2, 0];2.92089
testData/tsp_21.txt;1;;;
;;2707;[0, 11, 3, 10, 19, 18, 16, 9, 17, 12, 13, 14, 20, 1, 2, 8, 4, 15, 5, 7, 6, 0];82.274
testData/tsp_22.txt;1;;;
;;6929;[0, 15, 2, 1, 16, 21, 17, 3, 14, 4, 10, 8, 9, 20, 19, 18, 5, 6, 13, 12, 11, 7, 0];186.52865
testData/tsp_24.txt;1;;;
;;1272;[0, 15, 10, 2, 6, 5, 23, 7, 20, 4, 9, 16, 21, 17, 18, 14, 1, 19, 13, 12, 8, 22, 3, 11, 0];5761.59407
